Restaurant,Category,Items,Price
Garava,Starter,Papad,30
Garava,Starter,Chips,45
Garava,Starter,Bhurji,50
Garava,Starter,Pakoda,60
Garava,Starter,Omelet,50
Garava,Starter,Chilly paneer,120
Garava,Starter,Chilly chicken,140
Garava,Starter,Mushroom Fry,140
Garava,Main Course,Mix Veg,120
Garava,Main Course,Butter Paneer,140
Garava,Main Course,Aloo Gobi,100
Garava,Main Course,Jeera Aloo,100
Garava,Main Course,Dal Fry,100
Garava,Main Course,Butter Chicken,150
Garava,Main Course,Chicken handi,160
Garava,Rice,Veg Biryani,160
Garava,Rice,Paneer Biryani,180
Garava,Rice,Veg Pulav,120
Garava,Rice,Jeera Rice,110
Garava,Rice,Plain Rice,100
Garava,Roti,Chapati,17
Garava,Roti,Tandoori,20
Garava,Roti,Naan,30
Upvan,Starter,Vada pav,15
Upvan,Starter,Poha,25
Upvan,Starter,Bread Pakoda,20
Upvan,Starter,Noodles,60
Upvan,Starter,Upma,50
Upvan,Starter,Idli,30
Upvan,Starter,Dosa,60
Upvan,Starter,Uppam,50
Upvan,Main Course,Chole ,140
Upvan,Main Course,Rajma ,120
Upvan,Main Course,Dal ,100
Upvan,Main Course,Panner Masala,130
Upvan,Main Course,Baingan Bharta,100
Upvan,Main Course,Bhindi Masala,100
Upvan,Main Course,Gobi Masala,100
Upvan,Rice,Plain Rice,60
Upvan,Rice,Jeera Rice,70
Upvan,Rice,Masala Rice,90
Upvan,Rice,Pulav,100
Upvan,Rice,Biryani,120
Upvan,Roti,Chapati,15
Upvan,Roti,Tandoori,17
Upvan,Roti,Naan,20
Tantos,Bevereges,Coco cola,20
Tantos,Bevereges,Sprite,20
Tantos,Bevereges,Pina Colada,70
Tantos,Bevereges,Kala Khatta,60
Tantos,Bevereges,Blue-lagoon,90
Tantos,Bevereges,Fanta,20
Tantos,Bevereges,Cold Coffee,75
Tantos,Bevereges,Coffee,50
Tantos,Bevereges,Tea,30
Tantos,Pasta,White Sauce,150
Tantos,Pasta,Arrabiata,150
Tantos,Pasta,Pink Sauce,160
Tantos,Burger,Veg Burger,100
Tantos,Burger,Chicken Burger,140
Tantos,Pizza,Margharitta,260
Tantos,Pizza,Veg Overload,270
Tantos,Pizza,Chicken Overload,290
Tantos,Sandwich,Veg ,100
Tantos,Sandwich,Club,120
Tantos,Sandwich,Chicken,140
